ID,Data,Giełda,Aktywo,Typ,Ilość,Cena USD,Wartość USD,Kurs USD/PLN,Wartość PLN,Prowizja USD,Prowizja PLN,Waluta prowizji
3,2024-10-21,Binance,USDC,Sprzedaż,29.0,1.0002,29.0058,3.9775,115.3705695,0.0,0.0,USD
4,2024-03-10,Binance,STRK,Kupno,20.32,2.353,47.812960000000004,3.9392,188.34481203200002,0.0,0.0,USD
5,2024-03-15,Binance,STRK,Kupno,23.57,2.121,49.99197,3.9392,196.928368224,0.0,0.0,USD
6,2024-03-17,Binance,STRK,Kupno,31.53,1.967,62.019510000000004,3.9392,244.307253792,0.0,0.0,USD
7,2024-03-30,Binance,STRK,Sprzedaż,75.34,2.153,162.20702,3.9886,646.978919972,0.0,0.0,USD
8,2025-10-26,Bybit,ETH,Kupno,0.74682,4052.19,3026.2565358,3.6481,11040.08646825198,0.0,0.0,USD
77,2024-03-04,Binance,ETH,Sprzedaż,0.4648,3540.46,1645.605808,3.982,6552.802327456,0.0,0.0,USD
78,2024-03-09,Binance,ETH,Sprzedaż,0.1392,3886.6100000000006,541.016112,3.9392,2131.1706683904,0.0,0.0,USD
9,2025-03-02,Binance,ENA,Kupno,278.99,0.4017,112.070283,3.9993,448.2026828019,0.0,0.0,USD
10,2025-08-18,Binance,ENA,Sprzedaż,278.78,0.6765000000000001,188.59467,3.6434,687.1258206780001,0.0,0.0,USD
11,2024-11-06,Binance,ETH,Sprzedaż,0.0191,2697.6800000000003,51.525688,4.0595,209.168530436,0.0,0.0,USD
12,2025-02-28,Binance,ETH,Sprzedaż,0.0505,2220.59,112.13979500000002,3.9993,448.4806821435001,0.0,0.0,USD
13,2025-08-22,Binance,ETH,Kupno,0.1291,4327.91,558.733181,3.6786,2055.3558796265997,0.0,0.0,USD
14,2025-08-22,Binance,ETH,Sprzedaż,0.12890000000000001,4326.639999999999,557.703896,3.6786,2051.5695518256,0.0,0.0,USD
15,2025-10-26,Binance,ETH,Kupno,0.1286,4049.4,520.75284,3.6481,1899.758435604,0.0,0.0,USD
16,2025-10-24,XTB,CRCL,Kupno,0.3,136.01,40.803,3.6481,148.85342429999997,0.0,0.0,USD
17,2025-10-24,XTB,BP,Kupno,4.0,34.54,138.16,3.6481,504.02149599999996,0.0,0.0,USD
