Giełda,Aktywo,Przychód ze sprzedaży (USD),Koszt nabycia (USD),Prowizje (USD),Zysk/Strata (USD),Podatek 19% (USD)
Binance,STRK,162.20702,159.66708000000003,0.0,2.53993999999998,0.4825885999999962
Binance,BTC,297.16469530000006,208.7948288,0.0,88.3698665,16.790274635
Binance,JASMY,343.37579220000003,343.6618671000001,0.0,-0.2860749000000453,0
Binance,API3,345.44104000000004,468.7045447486288,0.0,-123.26350474862883,0
Binance,ARB,121.77328999999997,123.6968,0.0,-1.9235100000000216,0
Binance,TIA,326.50800000000004,546.6139999999999,0.0,-220.10599999999994,0
Binance,MANTA,436.8100000000001,582.4594,0.0,-145.6493999999998,0
Binance,JUP,299.07322,105.23009523809523,0.0,193.84312476190476,36.8301937047619
Binance,WIF,319.52370199999996,198.886577,0.0,120.63712499999997,22.921053749999995
SUMA,WSZYSTKIE,2332.3530575000004,2538.828615886724,0.0,-85.83843338672395,0
